Year,Series,Unit,Value
2001,Prevalence of undernourishment,% of population,26.8
2002,Prevalence of undernourishment,% of population,27.5
2003,Prevalence of undernourishment,% of population,28.2
2004,Prevalence of undernourishment,% of population,29.1
2005,Prevalence of undernourishment,% of population,28.0
2006,Prevalence of undernourishment,% of population,27.9
2007,Prevalence of undernourishment,% of population,27.2
2008,Prevalence of undernourishment,% of population,27.6
2009,Prevalence of undernourishment,% of population,26.9
2010,Prevalence of undernourishment,% of population,26.1
2011,Prevalence of undernourishment,% of population,24.6
2012,Prevalence of undernourishment,% of population,23.3
2013,Prevalence of undernourishment,% of population,22.1
2014,Prevalence of undernourishment,% of population,22.4
2015,Prevalence of undernourishment,% of population,26.8
2016,Prevalence of undernourishment,% of population,27.2
2017,Prevalence of undernourishment,% of population,27.3
2018,Prevalence of undernourishment,% of population,27.5
2019,Prevalence of undernourishment,% of population,27.3
2020,Prevalence of undernourishment,% of population,27.4
2021,Prevalence of undernourishment,% of population,27.0
2022,Prevalence of undernourishment,% of population,27.7
