Year,Series,Unit,Value
2000,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2001,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2002,GDP by activity: Manufacturing,% of GDP (2015 USD),2.41
2003,GDP by activity: Manufacturing,% of GDP (2015 USD),2.42
2004,GDP by activity: Manufacturing,% of GDP (2015 USD),2.46
2005,GDP by activity: Manufacturing,% of GDP (2015 USD),2.57
2006,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2007,GDP by activity: Manufacturing,% of GDP (2015 USD),2.74
2008,GDP by activity: Manufacturing,% of GDP (2015 USD),2.88
2009,GDP by activity: Manufacturing,% of GDP (2015 USD),2.65
2010,GDP by activity: Manufacturing,% of GDP (2015 USD),2.58
2011,GDP by activity: Manufacturing,% of GDP (2015 USD),2.67
2012,GDP by activity: Manufacturing,% of GDP (2015 USD),2.54
2013,GDP by activity: Manufacturing,% of GDP (2015 USD),2.49
2014,GDP by activity: Manufacturing,% of GDP (2015 USD),2.17
2015,GDP by activity: Manufacturing,% of GDP (2015 USD),1.78
2016,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2017,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2018,GDP by activity: Manufacturing,% of GDP (2015 USD),1.64
2019,GDP by activity: Manufacturing,% of GDP (2015 USD),1.56
2020,GDP by activity: Manufacturing,% of GDP (2015 USD),1.51
2021,GDP by activity: Manufacturing,% of GDP (2015 USD),1.63
2022,GDP by activity: Manufacturing,% of GDP (2015 USD),1.71
2023,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2024,GDP by activity: Manufacturing,% of GDP (2015 USD),1.72
2000,GDP by activity: Manufacturing,2015 US dollars per capita,53.76
2001,GDP by activity: Manufacturing,2015 US dollars per capita,52.03
2002,GDP by activity: Manufacturing,2015 US dollars per capita,47.4
2003,GDP by activity: Manufacturing,2015 US dollars per capita,48.07
2004,GDP by activity: Manufacturing,2015 US dollars per capita,47.55
2005,GDP by activity: Manufacturing,2015 US dollars per capita,49.91
2006,GDP by activity: Manufacturing,2015 US dollars per capita,50.28
2007,GDP by activity: Manufacturing,2015 US dollars per capita,55.18
2008,GDP by activity: Manufacturing,2015 US dollars per capita,56.12
2009,GDP by activity: Manufacturing,2015 US dollars per capita,53.35
2010,GDP by activity: Manufacturing,2015 US dollars per capita,55.68
2011,GDP by activity: Manufacturing,2015 US dollars per capita,56.6
2012,GDP by activity: Manufacturing,2015 US dollars per capita,54.77
2013,GDP by activity: Manufacturing,2015 US dollars per capita,54.23
2014,GDP by activity: Manufacturing,2015 US dollars per capita,52.38
2015,GDP by activity: Manufacturing,2015 US dollars per capita,44.15
2016,GDP by activity: Manufacturing,2015 US dollars per capita,44.7
2017,GDP by activity: Manufacturing,2015 US dollars per capita,45.25
2018,GDP by activity: Manufacturing,2015 US dollars per capita,41.23
2019,GDP by activity: Manufacturing,2015 US dollars per capita,40.08
2020,GDP by activity: Manufacturing,2015 US dollars per capita,36.72
2021,GDP by activity: Manufacturing,2015 US dollars per capita,38.61
2022,GDP by activity: Manufacturing,2015 US dollars per capita,41.85
2023,GDP by activity: Manufacturing,2015 US dollars per capita,43.15
2024,GDP by activity: Manufacturing,2015 US dollars per capita,43.68
