Year,Series,Unit,Value
2000,Seats held by women in national parliament,% of seats,1.83
2001,Seats held by women in national parliament,% of seats,1.83
2002,Seats held by women in national parliament,% of seats,1.83
2003,Seats held by women in national parliament,% of seats,0.92
2004,Seats held by women in national parliament,% of seats,0.92
2005,Seats held by women in national parliament,% of seats,0.92
2006,Seats held by women in national parliament,% of seats,0.92
2007,Seats held by women in national parliament,% of seats,0.92
2008,Seats held by women in national parliament,% of seats,0.92
2009,Seats held by women in national parliament,% of seats,0.92
2010,Seats held by women in national parliament,% of seats,0.92
2011,Seats held by women in national parliament,% of seats,0.92
2012,Seats held by women in national parliament,% of seats,0.92
2013,Seats held by women in national parliament,% of seats,2.7
2014,Seats held by women in national parliament,% of seats,2.7
2015,Seats held by women in national parliament,% of seats,2.7
2016,Seats held by women in national parliament,% of seats,2.7
2017,Seats held by women in national parliament,% of seats,2.7
2018,Seats held by women in national parliament,% of seats,0.0
2019,Seats held by women in national parliament,% of seats,0.0
2020,Seats held by women in national parliament,% of seats,0.0
2021,Seats held by women in national parliament,% of seats,0.0
2022,Seats held by women in national parliament,% of seats,0.0
2023,Seats held by women in national parliament,% of seats,1.74
2024,Seats held by women in national parliament,% of seats,2.7
