Year,Series,Unit,Value
2000,"Suicide, both sexes","Per 100,000 population",2.1
2001,"Suicide, both sexes","Per 100,000 population",2.16
2002,"Suicide, both sexes","Per 100,000 population",2.22
2003,"Suicide, both sexes","Per 100,000 population",2.28
2004,"Suicide, both sexes","Per 100,000 population",2.34
2005,"Suicide, both sexes","Per 100,000 population",2.4
2006,"Suicide, both sexes","Per 100,000 population",2.44
2007,"Suicide, both sexes","Per 100,000 population",2.48
2008,"Suicide, both sexes","Per 100,000 population",2.52
2009,"Suicide, both sexes","Per 100,000 population",2.56
2010,"Suicide, both sexes","Per 100,000 population",2.6
2011,"Suicide, both sexes","Per 100,000 population",2.66
2012,"Suicide, both sexes","Per 100,000 population",2.72
2013,"Suicide, both sexes","Per 100,000 population",2.78
2014,"Suicide, both sexes","Per 100,000 population",2.84
2015,"Suicide, both sexes","Per 100,000 population",2.0
2019,"Suicide, both sexes","Per 100,000 population",2.1
2020,"Suicide, both sexes","Per 100,000 population",1.7
2021,"Suicide, both sexes","Per 100,000 population",1.8
2000,"Suicide, female","Per 100,000 population",1.0
2001,"Suicide, female","Per 100,000 population",1.06
2002,"Suicide, female","Per 100,000 population",1.12
2003,"Suicide, female","Per 100,000 population",1.18
2004,"Suicide, female","Per 100,000 population",1.24
2005,"Suicide, female","Per 100,000 population",1.3
2006,"Suicide, female","Per 100,000 population",1.32
2007,"Suicide, female","Per 100,000 population",1.34
2008,"Suicide, female","Per 100,000 population",1.36
2009,"Suicide, female","Per 100,000 population",1.38
2010,"Suicide, female","Per 100,000 population",1.4
2011,"Suicide, female","Per 100,000 population",1.44
2012,"Suicide, female","Per 100,000 population",1.48
2013,"Suicide, female","Per 100,000 population",1.52
2014,"Suicide, female","Per 100,000 population",1.56
2015,"Suicide, female","Per 100,000 population",1.6
2019,"Suicide, female","Per 100,000 population",1.7
2020,"Suicide, female","Per 100,000 population",1.4
2021,"Suicide, female","Per 100,000 population",1.4
2000,"Suicide, male","Per 100,000 population",3.2
2001,"Suicide, male","Per 100,000 population",3.26
2002,"Suicide, male","Per 100,000 population",3.32
2003,"Suicide, male","Per 100,000 population",3.38
2004,"Suicide, male","Per 100,000 population",3.44
2005,"Suicide, male","Per 100,000 population",3.5
2006,"Suicide, male","Per 100,000 population",3.54
2007,"Suicide, male","Per 100,000 population",3.58
2008,"Suicide, male","Per 100,000 population",3.62
2009,"Suicide, male","Per 100,000 population",3.66
2010,"Suicide, male","Per 100,000 population",3.7
2011,"Suicide, male","Per 100,000 population",3.8
2012,"Suicide, male","Per 100,000 population",3.9
2013,"Suicide, male","Per 100,000 population",4.0
2014,"Suicide, male","Per 100,000 population",4.1
2015,"Suicide, male","Per 100,000 population",2.3
2019,"Suicide, male","Per 100,000 population",2.4
2020,"Suicide, male","Per 100,000 population",2.0
2021,"Suicide, male","Per 100,000 population",2.2
