Year,Series,Unit,Value
2000,Above ground biomass in forest,Tons per hectare,176.0
2010,Above ground biomass in forest,Tons per hectare,176.0
2015,Above ground biomass in forest,Tons per hectare,176.0
2016,Above ground biomass in forest,Tons per hectare,176.0
2017,Above ground biomass in forest,Tons per hectare,176.0
2018,Above ground biomass in forest,Tons per hectare,176.0
2019,Above ground biomass in forest,Tons per hectare,176.0
2020,Above ground biomass in forest,Tons per hectare,176.0
2010,Forest area net change rate,Percentage,-0.03
2020,Forest area net change rate,Percentage,-0.09
2000,Forest area with a long-term management plan,Percentage,13.98
2010,Forest area with a long-term management plan,Percentage,13.98
2015,Forest area with a long-term management plan,Percentage,13.98
2016,Forest area with a long-term management plan,Percentage,13.98
2017,Forest area with a long-term management plan,Percentage,13.98
2018,Forest area with a long-term management plan,Percentage,13.98
2019,Forest area with a long-term management plan,Percentage,13.98
2020,Forest area with a long-term management plan,Percentage,13.98
2000,Forest area within legally established protected area,Percentage,3.78
2010,Forest area within legally established protected area,Percentage,3.78
2015,Forest area within legally established protected area,Percentage,3.78
2016,Forest area within legally established protected area,Percentage,3.78
2017,Forest area within legally established protected area,Percentage,3.78
2018,Forest area within legally established protected area,Percentage,3.78
2019,Forest area within legally established protected area,Percentage,3.78
2020,Forest area within legally established protected area,Percentage,3.78
2000,Forest certified under an independently verified certification scheme,% of forest area,0.01188049
2010,Forest certified under an independently verified certification scheme,% of forest area,0.007462916
2015,Forest certified under an independently verified certification scheme,% of forest area,0.1057616
2016,Forest certified under an independently verified certification scheme,% of forest area,0.1013896
2017,Forest certified under an independently verified certification scheme,% of forest area,0.1045156
2018,Forest certified under an independently verified certification scheme,% of forest area,0.1046132
2019,Forest certified under an independently verified certification scheme,% of forest area,0.1023704
2020,Forest certified under an independently verified certification scheme,% of forest area,0.04197373
