Year,Series,Unit,Value
2000,Urban population living in slums,% of urban population,19.75
2002,Urban population living in slums,% of urban population,19.75
2004,Urban population living in slums,% of urban population,19.75
2006,Urban population living in slums,% of urban population,20.1
2008,Urban population living in slums,% of urban population,20.5
2010,Urban population living in slums,% of urban population,20.9
2012,Urban population living in slums,% of urban population,21.3
2014,Urban population living in slums,% of urban population,21.65
2016,Urban population living in slums,% of urban population,22.0
2018,Urban population living in slums,% of urban population,22.4
2020,Urban population living in slums,% of urban population,22.8
2022,Urban population living in slums,% of urban population,22.2687
