Year,Series,Unit,Value
2000,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,13.92508
2001,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,48.45509
2002,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,8.87377
2003,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.12709
2004,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,6.9003
2005,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,2.25969
2006,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.69854
2007,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.29996
2008,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,4.5075
2009,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,1.16056
2010,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,13.46574
2011,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,7.04376
2012,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,10.28333
2013,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,2.28317
2014,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,5.21103
2015,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,6.61566
2016,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,32.97914
2017,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,25.56449
2018,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,31.33055
2019,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,27.07272
2020,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,17.69896
2021,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,20.79545
2022,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,30.53211
