Year,Series,Unit,Value
2008,Fixed-broadband subscriptions,Per 100 population,0.04185
2009,Fixed-broadband subscriptions,Per 100 population,0.06051
2010,Fixed-broadband subscriptions,Per 100 population,0.08044
2011,Fixed-broadband subscriptions,Per 100 population,0.09607
2012,Fixed-broadband subscriptions,Per 100 population,0.11462
2013,Fixed-broadband subscriptions,Per 100 population,0.13704
2014,Fixed-broadband subscriptions,Per 100 population,0.15595
2015,Fixed-broadband subscriptions,Per 100 population,0.17277
2016,Fixed-broadband subscriptions,Per 100 population,0.19103
2017,Fixed-broadband subscriptions,Per 100 population,0.19748
2019,Fixed-broadband subscriptions,Per 100 population,0.20959
2020,Fixed-broadband subscriptions,Per 100 population,0.21539
2021,Fixed-broadband subscriptions,Per 100 population,0.21107
2022,Fixed-broadband subscriptions,Per 100 population,0.21592
