Year,Series,Unit,Value
2000,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,66.38
2001,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,63.44
2002,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,62.49
2003,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,60.4
2004,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,57.48
2005,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.56
2006,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.86
2007,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,57.13
2008,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.93
2009,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.02
2010,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,55.25
2011,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,54.73
2012,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,55.45
2013,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.34
2014,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.93
2015,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,53.28
2016,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,52.72
2017,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,52.52
2018,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.19
2019,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.09
2020,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.39
2021,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.62
2022,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,50.78
