Year,Series,Unit,Value
2000,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),31.4
2001,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),32.12
2002,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),32.84
2003,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),33.56
2004,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),34.28
2005,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.0
2006,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.08
2007,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.16
2008,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.24
2009,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.32
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.4
2011,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.6
2012,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),35.8
2013,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),36.0
2014,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),36.2
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),30.9
2019,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),30.7
2020,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),30.3
2021,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases",Probability (%),28.5
2000,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",36.4
2001,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",37.04
2002,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",37.68
2003,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",38.32
2004,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",38.96
2005,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.6
2006,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.66
2007,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.72
2008,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.78
2009,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.84
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",39.9
2011,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",40.08
2012,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",40.26
2013,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",40.44
2014,"Mortality rate attributed to cardiovascular disease, cancer, diabetes, or chronic respiratory diseases","Probability, men (%)",40.62
