Year,Series,Unit,Value
2000,Malaria incidence rate,Per 1 000 population at risk,265.46299
2001,Malaria incidence rate,Per 1 000 population at risk,253.32224
2002,Malaria incidence rate,Per 1 000 population at risk,209.72828
2003,Malaria incidence rate,Per 1 000 population at risk,218.88185
2004,Malaria incidence rate,Per 1 000 population at risk,271.44
2005,Malaria incidence rate,Per 1 000 population at risk,217.50063
2006,Malaria incidence rate,Per 1 000 population at risk,220.87553
2007,Malaria incidence rate,Per 1 000 population at risk,180.79021
2008,Malaria incidence rate,Per 1 000 population at risk,165.35696
2009,Malaria incidence rate,Per 1 000 population at risk,212.45174
2010,Malaria incidence rate,Per 1 000 population at risk,142.32437
2011,Malaria incidence rate,Per 1 000 population at risk,115.16534
2012,Malaria incidence rate,Per 1 000 population at risk,155.6894
2013,Malaria incidence rate,Per 1 000 population at risk,172.23918
2014,Malaria incidence rate,Per 1 000 population at risk,190.67106
2015,Malaria incidence rate,Per 1 000 population at risk,101.18976
2016,Malaria incidence rate,Per 1 000 population at risk,134.90339
2017,Malaria incidence rate,Per 1 000 population at risk,134.03
2018,Malaria incidence rate,Per 1 000 population at risk,138.56737
2019,Malaria incidence rate,Per 1 000 population at risk,131.7861
2020,Malaria incidence rate,Per 1 000 population at risk,149.77162
2021,Malaria incidence rate,Per 1 000 population at risk,123.55187
2022,Malaria incidence rate,Per 1 000 population at risk,162.69769
2023,Malaria incidence rate,Per 1 000 population at risk,147.2018
