Year,Series,Unit,Value
2005,Lakes and rivers permanent water area change,Percentage,0.94129
2006,Lakes and rivers permanent water area change,Percentage,-0.72534
2007,Lakes and rivers permanent water area change,Percentage,-4.06869
2008,Lakes and rivers permanent water area change,Percentage,-1.97261
2009,Lakes and rivers permanent water area change,Percentage,-0.09162
2010,Lakes and rivers permanent water area change,Percentage,4.26666
2011,Lakes and rivers permanent water area change,Percentage,5.43478
2012,Lakes and rivers permanent water area change,Percentage,8.31455
2013,Lakes and rivers permanent water area change,Percentage,8.39917
2014,Lakes and rivers permanent water area change,Percentage,7.87646
2015,Lakes and rivers permanent water area change,Percentage,6.5153
2016,Lakes and rivers permanent water area change,Percentage,0.32694
2017,Lakes and rivers permanent water area change,Percentage,-1.18244
2018,Lakes and rivers permanent water area change,Percentage,0.56119
2019,Lakes and rivers permanent water area change,Percentage,1.51524
2020,Lakes and rivers permanent water area change,Percentage,2.28485
2021,Lakes and rivers permanent water area change,Percentage,10.44812
2022,Lakes and rivers permanent water area change,Percentage,13.97279
2007,Mangrove total area change,Percentage,0.23812
2008,Mangrove total area change,Percentage,0.14282
2009,Mangrove total area change,Percentage,0.1099
2010,Mangrove total area change,Percentage,-0.06482
2015,Mangrove total area change,Percentage,-0.39683
2016,Mangrove total area change,Percentage,-0.60605
2017,Mangrove total area change,Percentage,-0.63556
2018,Mangrove total area change,Percentage,-0.65482
2019,Mangrove total area change,Percentage,-0.82779
2020,Mangrove total area change,Percentage,-1.06569
2000,Reservoir minimum water area change,Percentage,-11.54121
2001,Reservoir minimum water area change,Percentage,-7.41164
2002,Reservoir minimum water area change,Percentage,-4.97228
2003,Reservoir minimum water area change,Percentage,-2.0578
2004,Reservoir minimum water area change,Percentage,1.45188
2005,Reservoir minimum water area change,Percentage,4.08068
2006,Reservoir minimum water area change,Percentage,3.25034
2007,Reservoir minimum water area change,Percentage,3.2901
2008,Reservoir minimum water area change,Percentage,5.28581
2009,Reservoir minimum water area change,Percentage,7.36918
2010,Reservoir minimum water area change,Percentage,8.53663
2011,Reservoir minimum water area change,Percentage,8.29608
2012,Reservoir minimum water area change,Percentage,5.78159
2013,Reservoir minimum water area change,Percentage,5.61521
2014,Reservoir minimum water area change,Percentage,3.0903
2015,Reservoir minimum water area change,Percentage,0.31445
2016,Reservoir minimum water area change,Percentage,-4.60945
2017,Reservoir minimum water area change,Percentage,-7.39173
2018,Reservoir minimum water area change,Percentage,-9.68131
2019,Reservoir minimum water area change,Percentage,-8.69684
2020,Reservoir minimum water area change,Percentage,-7.57901
2021,Reservoir minimum water area change,Percentage,-4.56995
2022,Reservoir minimum water area change,Percentage,-2.07674
