Year,Series,Unit,Value
2000,Victims of intentional homicide,Number,465
2001,Victims of intentional homicide,Number,436
2002,Victims of intentional homicide,Number,470
2003,Victims of intentional homicide,Number,609
2005,Victims of intentional homicide,Number,603
2006,Victims of intentional homicide,Number,610
2007,Victims of intentional homicide,Number,520
2008,Victims of intentional homicide,Number,603
2009,Victims of intentional homicide,Number,697
2010,Victims of intentional homicide,Number,713
