Year,Series,Unit,Value
2010,Unemployment rate - 13th ICLS (15+ years),% of female labour force aged 15+,1.276
2011,Unemployment rate - 13th ICLS (15+ years),% of female labour force aged 15+,1.44
2022,Unemployment rate - 13th ICLS (15+ years),% of female labour force aged 15+,2.19
2010,Unemployment rate - 13th ICLS (15+ years),% of female labour force without disability,1.35
2022,Unemployment rate - 13th ICLS (15+ years),% of female labour force without disability,2.26
2000,Unemployment rate - 13th ICLS (15+ years),% of labour force aged 15+,2.92
2010,Unemployment rate - 13th ICLS (15+ years),% of labour force aged 15+,2.002
2011,Unemployment rate - 13th ICLS (15+ years),% of labour force aged 15+,2.62
2022,Unemployment rate - 13th ICLS (15+ years),% of labour force aged 15+,2.689
2010,Unemployment rate - 13th ICLS (15+ years),% of labour force with disability,0.91
2010,Unemployment rate - 13th ICLS (15+ years),% of labour force without disability,2.09
2022,Unemployment rate - 13th ICLS (15+ years),% of labour force without disability,2.8
2010,Unemployment rate - 13th ICLS (15+ years),% of male labour force aged 15+,2.683
2011,Unemployment rate - 13th ICLS (15+ years),% of male labour force aged 15+,3.7
2022,Unemployment rate - 13th ICLS (15+ years),% of male labour force aged 15+,3.144
2010,Unemployment rate - 13th ICLS (15+ years),% of male labour force without disability,2.77
2022,Unemployment rate - 13th ICLS (15+ years),% of male labour force without disability,3.29
2010,Unemployment rate - 13th ICLS (25+ years),% of female labour force aged 25+,0.711
2022,Unemployment rate - 13th ICLS (25+ years),% of female labour force aged 25+,2.012
2000,Unemployment rate - 13th ICLS (25+ years),% of labour force aged 25+,2.05
2010,Unemployment rate - 13th ICLS (25+ years),% of labour force aged 25+,1.493
2022,Unemployment rate - 13th ICLS (25+ years),% of labour force aged 25+,2.46
2010,Unemployment rate - 13th ICLS (25+ years),% of male labour force aged 25+,2.205
2022,Unemployment rate - 13th ICLS (25+ years),% of male labour force aged 25+,2.857
2010,Youth unemployment rate- 13th ICLS (15-24 years),% of female labour force aged 15-24,2.952
2022,Youth unemployment rate- 13th ICLS (15-24 years),% of female labour force aged 15-24,2.984
2000,Youth unemployment rate- 13th ICLS (15-24 years),% of labour force aged 15-24,5.27
2010,Youth unemployment rate- 13th ICLS (15-24 years),% of labour force aged 15-24,3.612
2022,Youth unemployment rate- 13th ICLS (15-24 years),% of labour force aged 15-24,3.79
2010,Youth unemployment rate- 13th ICLS (15-24 years),% of male labour force aged 15-24,4.296
2022,Youth unemployment rate- 13th ICLS (15-24 years),% of male labour force aged 15-24,4.614
