Year,Series,Unit,Value
2000,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,237.76635
2001,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,154.85326
2002,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,119.44185
2003,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,89.3745
2004,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,92.62211
2005,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,85.16891
2006,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,55.12999
2007,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,101.37353
2008,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,104.63227
2009,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,61.40656
2010,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,104.09426
2011,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,109.90001
2012,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,146.91555
2013,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,246.09241
2014,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,192.32342
2015,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,247.07585
2016,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,244.43001
2017,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,212.22216
2018,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,315.11049
2019,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,346.14325
2020,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,573.6979
2021,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,498.09368
2022,"Total official flows for infrastructure, by recipient",Million 2022 US dollars,608.1723
