Year,Series,Unit,Value
2010,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,2.738172
2011,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.886904
2012,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.404085
2013,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,3.720306
2014,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.326159
2015,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,1.88602
2016,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.254151
2017,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.993018
2018,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.365325
2019,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.305766
2020,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.231585
2021,Resources made available to strengthen statistical capacities in developing countries,Million US dollars,0.295044
