Year,Series,Unit,Value
2000,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.35
2005,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.34
2010,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.34
2015,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.25
2018,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.18
2021,"Mountain green cover index, Total - Land cover: Mountain Green Cover Index (MGCI)",Percentage,99.14
2015,"Proportion of degraded mountain land, Total",Percentage,0.4
2021,"Proportion of degraded mountain land, Total",Percentage,0.6
