Year,Series,Unit,Value
2000,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,6.74
2001,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.24
2002,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.53
2003,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.28
2004,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.66
2005,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.56
2006,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.48
2007,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,8.69
2008,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.74
2009,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,7.47
2010,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,6.51
2011,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,6.8
2012,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.88
2013,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,6.27
2014,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,6.18
2015,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.18
2016,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.15
2017,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,4.8
2018,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.15
2019,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,4.96
2020,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.35
2021,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.38
2022,Energy intensity level of primary energy (SDG),Megajoules per unit of GDP in 2017 PPP,5.29
