Year,Series,Unit,Value
2000,Population using basic drinking water services,% of population,31.75456
2001,Population using basic drinking water services,% of population,31.74152
2002,Population using basic drinking water services,% of population,31.73085
2003,Population using basic drinking water services,% of population,31.72019
2004,Population using basic drinking water services,% of population,31.70893
2005,Population using basic drinking water services,% of population,32.73958
2006,Population using basic drinking water services,% of population,33.77066
2007,Population using basic drinking water services,% of population,34.80218
2008,Population using basic drinking water services,% of population,35.83414
2009,Population using basic drinking water services,% of population,36.85912
2010,Population using basic drinking water services,% of population,37.88026
2011,Population using basic drinking water services,% of population,38.89704
2012,Population using basic drinking water services,% of population,39.9105
2013,Population using basic drinking water services,% of population,40.92717
2014,Population using basic drinking water services,% of population,41.9467
2015,Population using basic drinking water services,% of population,43.931568145752
2016,Population using basic drinking water services,% of population,45.047176361084
2017,Population using basic drinking water services,% of population,46.1449165344238
2018,Population using basic drinking water services,% of population,47.2247352600098
2019,Population using basic drinking water services,% of population,48.2857093811035
2020,Population using basic drinking water services,% of population,49.3273963928223
2021,Population using basic drinking water services,% of population,50.3501510620117
2022,Population using basic drinking water services,% of population,51.3531341552734
2023,Population using basic drinking water services,% of population,52.3359184265137
2024,Population using basic drinking water services,% of population,53.2984848022461
2000,Population using basic drinking water services,% of rural population,23.93043
2001,Population using basic drinking water services,% of rural population,23.93043
2002,Population using basic drinking water services,% of rural population,23.93043
2003,Population using basic drinking water services,% of rural population,23.93043
2004,Population using basic drinking water services,% of rural population,23.93043
2005,Population using basic drinking water services,% of rural population,25.13111
2006,Population using basic drinking water services,% of rural population,26.3318
2007,Population using basic drinking water services,% of rural population,27.53248
2008,Population using basic drinking water services,% of rural population,28.73316
2009,Population using basic drinking water services,% of rural population,29.87485
2010,Population using basic drinking water services,% of rural population,31.01181
2011,Population using basic drinking water services,% of rural population,32.14404
2012,Population using basic drinking water services,% of rural population,33.27153
2013,Population using basic drinking water services,% of rural population,34.39429
2014,Population using basic drinking water services,% of rural population,35.51232
2015,Population using basic drinking water services,% of rural population,37.8512687683105
2016,Population using basic drinking water services,% of rural population,39.1172370910645
2017,Population using basic drinking water services,% of rural population,40.3567543029785
2018,Population using basic drinking water services,% of rural population,41.5698204040527
2019,Population using basic drinking water services,% of rural population,42.7564315795898
2020,Population using basic drinking water services,% of rural population,43.9165954589844
2021,Population using basic drinking water services,% of rural population,45.0503044128418
2022,Population using basic drinking water services,% of rural population,46.1575584411621
2023,Population using basic drinking water services,% of rural population,47.2383651733398
2024,Population using basic drinking water services,% of rural population,48.2927169799805
2000,Population using basic drinking water services,% of urban population,83.18615
2001,Population using basic drinking water services,% of urban population,83.18615
2002,Population using basic drinking water services,% of urban population,83.18615
2003,Population using basic drinking water services,% of urban population,83.18615
2004,Population using basic drinking water services,% of urban population,83.18615
2005,Population using basic drinking water services,% of urban population,83.17111
2006,Population using basic drinking water services,% of urban population,83.15607
2007,Population using basic drinking water services,% of urban population,83.14103
2008,Population using basic drinking water services,% of urban population,83.12599
2009,Population using basic drinking water services,% of urban population,83.4475
2010,Population using basic drinking water services,% of urban population,83.7689
2011,Population using basic drinking water services,% of urban population,84.09017
2012,Population using basic drinking water services,% of urban population,84.41132
2013,Population using basic drinking water services,% of urban population,84.73235
2014,Population using basic drinking water services,% of urban population,85.05325
2015,Population using basic drinking water services,% of urban population,84.5796890258789
2016,Population using basic drinking water services,% of urban population,84.5573654174805
2017,Population using basic drinking water services,% of urban population,84.5344467163086
2018,Population using basic drinking water services,% of urban population,84.5109329223633
2019,Population using basic drinking water services,% of urban population,84.4868240356445
2020,Population using basic drinking water services,% of urban population,84.4621200561523
2021,Population using basic drinking water services,% of urban population,84.4368133544922
2022,Population using basic drinking water services,% of urban population,84.4109191894531
2023,Population using basic drinking water services,% of urban population,84.3844223022461
2024,Population using basic drinking water services,% of urban population,84.3573303222656
2000,Population using basic sanitation services,% of population,18.1421
2001,Population using basic sanitation services,% of population,18.13217
2002,Population using basic sanitation services,% of population,18.12404
2003,Population using basic sanitation services,% of population,18.11591
2004,Population using basic sanitation services,% of population,18.10733
2005,Population using basic sanitation services,% of population,18.2143
2006,Population using basic sanitation services,% of population,18.32151
2007,Population using basic sanitation services,% of population,18.42894
2008,Population using basic sanitation services,% of population,18.5366
2009,Population using basic sanitation services,% of population,18.58365
2010,Population using basic sanitation services,% of population,18.62994
2011,Population using basic sanitation services,% of population,18.67508
2012,Population using basic sanitation services,% of population,18.71988
2013,Population using basic sanitation services,% of population,18.76937
2014,Population using basic sanitation services,% of population,18.82328
2015,Population using basic sanitation services,% of population,20.3882865905762
2016,Population using basic sanitation services,% of population,20.7451152801514
2017,Population using basic sanitation services,% of population,21.1018600463867
2018,Population using basic sanitation services,% of population,21.4585113525391
2019,Population using basic sanitation services,% of population,21.8143653869629
2020,Population using basic sanitation services,% of population,22.1690864562988
2021,Population using basic sanitation services,% of population,22.5229644775391
2022,Population using basic sanitation services,% of population,22.875316619873
2023,Population using basic sanitation services,% of population,23.2257919311523
2024,Population using basic sanitation services,% of population,23.5743389129639
2000,Population using basic sanitation services,% of rural population,12.18023
2001,Population using basic sanitation services,% of rural population,12.18023
2002,Population using basic sanitation services,% of rural population,12.18023
2003,Population using basic sanitation services,% of rural population,12.18023
2004,Population using basic sanitation services,% of rural population,12.18023
2005,Population using basic sanitation services,% of rural population,12.37899
2006,Population using basic sanitation services,% of rural population,12.57776
2007,Population using basic sanitation services,% of rural population,12.77652
2008,Population using basic sanitation services,% of rural population,12.97529
2009,Population using basic sanitation services,% of rural population,13.12462
2010,Population using basic sanitation services,% of rural population,13.27246
2011,Population using basic sanitation services,% of rural population,13.4188
2012,Population using basic sanitation services,% of rural population,13.56366
2013,Population using basic sanitation services,% of rural population,13.70702
2014,Population using basic sanitation services,% of rural population,13.8489
2015,Population using basic sanitation services,% of rural population,15.6350889205933
2016,Population using basic sanitation services,% of rural population,16.0904121398926
2017,Population using basic sanitation services,% of rural population,16.5406494140625
2018,Population using basic sanitation services,% of rural population,16.985803604126
2019,Population using basic sanitation services,% of rural population,17.425874710083
2020,Population using basic sanitation services,% of rural population,17.8608589172363
2021,Population using basic sanitation services,% of rural population,18.2907600402832
2022,Population using basic sanitation services,% of rural population,18.715576171875
2023,Population using basic sanitation services,% of rural population,19.1353073120117
2024,Population using basic sanitation services,% of rural population,19.549955368042
2000,Population using basic sanitation services,% of urban population,57.33225
2001,Population using basic sanitation services,% of urban population,57.33225
2002,Population using basic sanitation services,% of urban population,57.33225
2003,Population using basic sanitation services,% of urban population,57.33225
2004,Population using basic sanitation services,% of urban population,57.33225
2005,Population using basic sanitation services,% of urban population,56.89278
2006,Population using basic sanitation services,% of urban population,56.45331
2007,Population using basic sanitation services,% of urban population,56.01384
2008,Population using basic sanitation services,% of urban population,55.57437
2009,Population using basic sanitation services,% of urban population,54.99797
2010,Population using basic sanitation services,% of urban population,54.42375
2011,Population using basic sanitation services,% of urban population,53.85171
2012,Population using basic sanitation services,% of urban population,53.28186
2013,Population using basic sanitation services,% of urban population,52.71419
2014,Population using basic sanitation services,% of urban population,52.14871
2015,Population using basic sanitation services,% of urban population,52.1644248962402
2016,Population using basic sanitation services,% of urban population,51.7586402893066
2017,Population using basic sanitation services,% of urban population,51.3537330627441
2018,Population using basic sanitation services,% of urban population,50.9497108459473
2019,Population using basic sanitation services,% of urban population,50.5465698242188
2020,Population using basic sanitation services,% of urban population,50.1443099975586
2021,Population using basic sanitation services,% of urban population,49.7429275512695
2022,Population using basic sanitation services,% of urban population,49.3424301147461
2023,Population using basic sanitation services,% of urban population,48.9428176879883
2024,Population using basic sanitation services,% of urban population,48.5440826416016
