Year,Series,Unit,Value
2021,"Women's representation in parliament (from the age of eligibility), Lower Chamber or Unicameral",Ratio (women's share in parliament over share in total population),0.0
2022,"Women's representation in parliament (from the age of eligibility), Lower Chamber or Unicameral",Ratio (women's share in parliament over share in total population),0.0
2023,"Women's representation in parliament (from the age of eligibility), Lower Chamber or Unicameral",Ratio (women's share in parliament over share in total population),0.0356
2024,"Women's representation in parliament (from the age of eligibility), Lower Chamber or Unicameral",Ratio (women's share in parliament over share in total population),0.05533
2021,"Young members representation in parliament (from the age of eligibility to 45), Lower Chamber or Unicameral",Ratio (age group’s share in parliament over share in total population),0.31404
2022,"Young members representation in parliament (from the age of eligibility to 45), Lower Chamber or Unicameral",Ratio (age group’s share in parliament over share in total population),0.31404
2024,"Young members representation in parliament (from the age of eligibility to 45), Lower Chamber or Unicameral",Ratio (age group’s share in parliament over share in total population),0.22839
