Year,Series,Unit,Value
2000,"Renewable electricity capacity, total",Watts per capita,38.60631
2001,"Renewable electricity capacity, total",Watts per capita,37.37342
2002,"Renewable electricity capacity, total",Watts per capita,36.1423
2003,"Renewable electricity capacity, total",Watts per capita,35.98961
2004,"Renewable electricity capacity, total",Watts per capita,34.83684
2005,"Renewable electricity capacity, total",Watts per capita,38.35067
2006,"Renewable electricity capacity, total",Watts per capita,37.15354
2007,"Renewable electricity capacity, total",Watts per capita,40.05655
2008,"Renewable electricity capacity, total",Watts per capita,39.96
2009,"Renewable electricity capacity, total",Watts per capita,39.03225
2010,"Renewable electricity capacity, total",Watts per capita,38.93229
2011,"Renewable electricity capacity, total",Watts per capita,37.81833
2012,"Renewable electricity capacity, total",Watts per capita,38.19078
2013,"Renewable electricity capacity, total",Watts per capita,37.40722
2014,"Renewable electricity capacity, total",Watts per capita,36.47099
2015,"Renewable electricity capacity, total",Watts per capita,37.42718
2016,"Renewable electricity capacity, total",Watts per capita,36.55393
2017,"Renewable electricity capacity, total",Watts per capita,35.68604
2018,"Renewable electricity capacity, total",Watts per capita,34.87302
2019,"Renewable electricity capacity, total",Watts per capita,34.27544
2020,"Renewable electricity capacity, total",Watts per capita,33.56515
2021,"Renewable electricity capacity, total",Watts per capita,32.9578
2022,"Renewable electricity capacity, total",Watts per capita,32.66083
2023,"Renewable electricity capacity, total",Watts per capita,38.38864
