Year,Series,Unit,Value
2000,Children moderately or severely stunted,% of children under 5,36.9
2001,Children moderately or severely stunted,% of children under 5,37.9
2002,Children moderately or severely stunted,% of children under 5,39.1
2003,Children moderately or severely stunted,% of children under 5,40.4
2004,Children moderately or severely stunted,% of children under 5,41.7
2005,Children moderately or severely stunted,% of children under 5,43.0
2006,Children moderately or severely stunted,% of children under 5,44.3
2007,Children moderately or severely stunted,% of children under 5,45.3
2008,Children moderately or severely stunted,% of children under 5,46.2
2009,Children moderately or severely stunted,% of children under 5,46.8
2010,Children moderately or severely stunted,% of children under 5,47.3
2011,Children moderately or severely stunted,% of children under 5,47.6
2012,Children moderately or severely stunted,% of children under 5,48.0
2013,Children moderately or severely stunted,% of children under 5,48.4
2014,Children moderately or severely stunted,% of children under 5,48.7
2015,Children moderately or severely stunted,% of children under 5,47.8
2016,Children moderately or severely stunted,% of children under 5,47.6
2017,Children moderately or severely stunted,% of children under 5,47.3
2018,Children moderately or severely stunted,% of children under 5,47.0
2019,Children moderately or severely stunted,% of children under 5,46.7
2020,Children moderately or severely stunted,% of children under 5,46.5
2021,Children moderately or severely stunted,% of children under 5,46.6
2022,Children moderately or severely stunted,% of children under 5,46.9
2023,Children moderately or severely stunted,% of children under 5,47.1
2024,Children moderately or severely stunted,% of children under 5,47.6
