Year,Series,Unit,Value
2019,Mortality rate attributed to unsafe WASH service,"Per 100,000 population",24.9
2019,Mortality rate attributed to unsafe WASH service,"Per 100,000 population, men",27.9
2019,Mortality rate attributed to unsafe WASH service,"Per 100,000 population, women",21.8
2019,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections","Per 100,000 population",24.88285
