Year,Series,Unit,Value
2000,Tuberculosis incidence rate,"Per 100,000 population",432
2001,Tuberculosis incidence rate,"Per 100,000 population",432
2002,Tuberculosis incidence rate,"Per 100,000 population",432
2003,Tuberculosis incidence rate,"Per 100,000 population",432
2004,Tuberculosis incidence rate,"Per 100,000 population",432
2005,Tuberculosis incidence rate,"Per 100,000 population",432
2006,Tuberculosis incidence rate,"Per 100,000 population",432
2007,Tuberculosis incidence rate,"Per 100,000 population",432
2008,Tuberculosis incidence rate,"Per 100,000 population",432
2009,Tuberculosis incidence rate,"Per 100,000 population",432
2010,Tuberculosis incidence rate,"Per 100,000 population",432
2011,Tuberculosis incidence rate,"Per 100,000 population",432
2012,Tuberculosis incidence rate,"Per 100,000 population",432
2013,Tuberculosis incidence rate,"Per 100,000 population",432
2014,Tuberculosis incidence rate,"Per 100,000 population",432
2015,Tuberculosis incidence rate,"Per 100,000 population",432
2016,Tuberculosis incidence rate,"Per 100,000 population",432
2017,Tuberculosis incidence rate,"Per 100,000 population",432
2018,Tuberculosis incidence rate,"Per 100,000 population",432
2019,Tuberculosis incidence rate,"Per 100,000 population",432
2020,Tuberculosis incidence rate,"Per 100,000 population",432
2021,Tuberculosis incidence rate,"Per 100,000 population",432
2022,Tuberculosis incidence rate,"Per 100,000 population",432
2023,Tuberculosis incidence rate,"Per 100,000 population",432
