Year,Series,Unit,Value
2010,People requiring interventions against NTD: Total,Thousand people,6113.938
2011,People requiring interventions against NTD: Total,Thousand people,6167.038
2012,People requiring interventions against NTD: Total,Thousand people,6205.145
2013,People requiring interventions against NTD: Total,Thousand people,6252.956
2014,People requiring interventions against NTD: Total,Thousand people,6301.846
2015,People requiring interventions against NTD: Total,Thousand people,6425.746
2016,People requiring interventions against NTD: Total,Thousand people,6528.722
2017,People requiring interventions against NTD: Total,Thousand people,6546.649
2018,People requiring interventions against NTD: Total,Thousand people,6261.977
2019,People requiring interventions against NTD: Total,Thousand people,6982.087
2020,People requiring interventions against NTD: Total,Thousand people,6982.087
2021,People requiring interventions against NTD: Total,Thousand people,7046.178
2022,People requiring interventions against NTD: Total,Thousand people,7328.058
2023,People requiring interventions against NTD: Total,Thousand people,7465.549
