Year,Series,Unit,Value
2000,Maternal mortality,Deaths per 100 000 live births,311.8596
2001,Maternal mortality,Deaths per 100 000 live births,315.86011
2002,Maternal mortality,Deaths per 100 000 live births,325.42512
2003,Maternal mortality,Deaths per 100 000 live births,329.02558
2004,Maternal mortality,Deaths per 100 000 live births,309.73703
2005,Maternal mortality,Deaths per 100 000 live births,313.76992
2006,Maternal mortality,Deaths per 100 000 live births,322.94915
2007,Maternal mortality,Deaths per 100 000 live births,335.63656
2008,Maternal mortality,Deaths per 100 000 live births,291.5668
2009,Maternal mortality,Deaths per 100 000 live births,289.234
2010,Maternal mortality,Deaths per 100 000 live births,288.90088
2011,Maternal mortality,Deaths per 100 000 live births,262.31462
2012,Maternal mortality,Deaths per 100 000 live births,255.29237
2013,Maternal mortality,Deaths per 100 000 live births,232.9113
2014,Maternal mortality,Deaths per 100 000 live births,229.28949
2015,Maternal mortality,Deaths per 100 000 live births,207.54935
2016,Maternal mortality,Deaths per 100 000 live births,208.90027
2017,Maternal mortality,Deaths per 100 000 live births,209.7892
2018,Maternal mortality,Deaths per 100 000 live births,199.06436
2019,Maternal mortality,Deaths per 100 000 live births,189.81688
2020,Maternal mortality,Deaths per 100 000 live births,191.83874
