Year,Series,Unit,Value
2000,Annual GDP growth,Percentage,-2.49484
2001,Annual GDP growth,Percentage,-0.12129
2002,Annual GDP growth,Percentage,-0.1589
2003,Annual GDP growth,Percentage,2.1641
2004,Annual GDP growth,Percentage,2.72118
2005,Annual GDP growth,Percentage,6.3448
2006,Annual GDP growth,Percentage,5.40994
2007,Annual GDP growth,Percentage,7.81519
2008,Annual GDP growth,Percentage,-0.29646
2009,Annual GDP growth,Percentage,6.80042
2010,Annual GDP growth,Percentage,10.12845
2011,Annual GDP growth,Percentage,1.10754
2012,Annual GDP growth,Percentage,4.65712
2013,Annual GDP growth,Percentage,3.82495
2014,Annual GDP growth,Percentage,13.54377
2015,Annual GDP growth,Percentage,6.57836
2016,Annual GDP growth,Percentage,5.48957
2017,Annual GDP growth,Percentage,3.53461
2018,Annual GDP growth,Percentage,-0.27925
2019,Annual GDP growth,Percentage,4.48043
2020,Annual GDP growth,Percentage,-3.16738
2021,Annual GDP growth,Percentage,-0.78033
2022,Annual GDP growth,Percentage,5.16505
2000,Annual broad money growth,Percentage,5.00896
2001,Annual broad money growth,Percentage,6.24949
2002,Annual broad money growth,Percentage,7.26424
2003,Annual broad money growth,Percentage,-4.44623
2004,Annual broad money growth,Percentage,14.78684
2005,Annual broad money growth,Percentage,29.49003
2006,Annual broad money growth,Percentage,38.87959
2007,Annual broad money growth,Percentage,27.76492
2008,Annual broad money growth,Percentage,7.84316
2009,Annual broad money growth,Percentage,21.87726
2010,Annual broad money growth,Percentage,10.24608
2011,Annual broad money growth,Percentage,17.33533
2012,Annual broad money growth,Percentage,10.94225
2013,Annual broad money growth,Percentage,6.70151
2014,Annual broad money growth,Percentage,3.38279
2015,Annual broad money growth,Percentage,8.02684
2016,Annual broad money growth,Percentage,10.87362
2017,Annual broad money growth,Percentage,-0.93464
2018,Annual broad money growth,Percentage,-3.78026
2019,Annual broad money growth,Percentage,4.41742
2000,"Annual inflation, consumer prices",Percentage,15.59589
2001,"Annual inflation, consumer prices",Percentage,9.29817
2002,"Annual inflation, consumer prices",Percentage,11.79945
2003,"Annual inflation, consumer prices",Percentage,14.70908
2004,"Annual inflation, consumer prices",Percentage,2.15893
2005,"Annual inflation, consumer prices",Percentage,1.7808
2006,"Annual inflation, consumer prices",Percentage,2.36846
2007,"Annual inflation, consumer prices",Percentage,0.91135
