Year,Series,Unit,Value
2005,Direct economic loss attributed to disasters,Million US dollars,0.0
2006,Direct economic loss attributed to disasters,Million US dollars,1.3041
2007,Direct economic loss attributed to disasters,Million US dollars,104.5629
2008,Direct economic loss attributed to disasters,Million US dollars,137.5755
2009,Direct economic loss attributed to disasters,Million US dollars,2.628375
2010,Direct economic loss attributed to disasters,Million US dollars,0.0
2011,Direct economic loss attributed to disasters,Million US dollars,0.0
2012,Direct economic loss attributed to disasters,Million US dollars,1.077375
2013,Direct economic loss attributed to disasters,Million US dollars,1.683
2014,Direct economic loss attributed to disasters,Million US dollars,0.0
2015,Direct economic loss attributed to disasters,Million US dollars,0.0
2019,Direct economic loss attributed to disasters,Million US dollars,13.3875
2020,Direct economic loss attributed to disasters,Million US dollars,1.66666875
