Year,Series,Unit,Value
2010,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.26735
2011,"Annual mean concentration of PM2.5, urban",Micrograms per m3,8.88247
2012,"Annual mean concentration of PM2.5, urban",Micrograms per m3,8.98623
2013,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.03763
2014,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.0329
2015,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.57879
2016,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.36784
2017,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.53266
2018,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.64841
2019,"Annual mean concentration of PM2.5, urban",Micrograms per m3,9.50918
