Year,Series,Unit,Value
2000,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.7561
2001,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.7561
2002,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.81725
2003,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.87227
2004,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.87227
2005,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.87227
2006,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,6.87227
2007,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.11889
2008,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.16779
2009,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2010,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2011,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2012,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2013,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2014,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2015,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2016,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.22228
2017,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2018,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2019,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2020,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2021,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2022,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
2023,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage,7.30653
