Year,Series,Unit,Value
2000,Neonatal mortality rate,"Deaths per 1,000 live births",30.8
2001,Neonatal mortality rate,"Deaths per 1,000 live births",30.2
2002,Neonatal mortality rate,"Deaths per 1,000 live births",29.7
2003,Neonatal mortality rate,"Deaths per 1,000 live births",29.2
2004,Neonatal mortality rate,"Deaths per 1,000 live births",28.8
2005,Neonatal mortality rate,"Deaths per 1,000 live births",28.5
2006,Neonatal mortality rate,"Deaths per 1,000 live births",28.2
2007,Neonatal mortality rate,"Deaths per 1,000 live births",27.9
2008,Neonatal mortality rate,"Deaths per 1,000 live births",27.6
2009,Neonatal mortality rate,"Deaths per 1,000 live births",27.1
2010,Neonatal mortality rate,"Deaths per 1,000 live births",26.7
2011,Neonatal mortality rate,"Deaths per 1,000 live births",26.2
2012,Neonatal mortality rate,"Deaths per 1,000 live births",25.6
2013,Neonatal mortality rate,"Deaths per 1,000 live births",25.1
2014,Neonatal mortality rate,"Deaths per 1,000 live births",24.7
2015,Neonatal mortality rate,"Deaths per 1,000 live births",24.2
2016,Neonatal mortality rate,"Deaths per 1,000 live births",23.7
2017,Neonatal mortality rate,"Deaths per 1,000 live births",23.3
2018,Neonatal mortality rate,"Deaths per 1,000 live births",22.9
2019,Neonatal mortality rate,"Deaths per 1,000 live births",22.3
2020,Neonatal mortality rate,"Deaths per 1,000 live births",21.8
2021,Neonatal mortality rate,"Deaths per 1,000 live births",21.4
2022,Neonatal mortality rate,"Deaths per 1,000 live births",21.0
2023,Neonatal mortality rate,"Deaths per 1,000 live births",20.5
