Year,Series,Unit,Value
2000,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.09
2001,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.1
2002,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.11
2003,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.12
2004,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.12
2005,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2006,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2007,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2008,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2009,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2010,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2011,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2012,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2013,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2014,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2015,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2016,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2017,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2018,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2019,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2020,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2021,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2022,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
