Year,Series,Unit,Value
2015,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,4.81684
2016,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,2.55391
2017,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,10.6982
2018,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,9.2271
2019,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,2.56603
2020,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,4.10932
2021,"Proportion of total government spending on essential services, education [UIS methodology]",Percentage,3.86124
