Year,Series,Unit,Value
2010,Road traffic deaths,"Per 100,000 population",17.08342
2011,Road traffic deaths,"Per 100,000 population",16.84055
2012,Road traffic deaths,"Per 100,000 population",16.20149
2013,Road traffic deaths,"Per 100,000 population",16.28882
2014,Road traffic deaths,"Per 100,000 population",14.34594
2015,Road traffic deaths,"Per 100,000 population",14.08669
2016,Road traffic deaths,"Per 100,000 population",13.9015
2017,Road traffic deaths,"Per 100,000 population",13.89697
2018,Road traffic deaths,"Per 100,000 population",13.51195
2019,Road traffic deaths,"Per 100,000 population",12.59498
2021,Road traffic deaths,"Per 100,000 population",14.9
