Year,Series,Unit,Value
2000,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2001,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2002,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2003,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2004,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2005,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2006,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2007,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2008,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2009,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2010,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2011,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2012,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2013,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2015,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2016,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2017,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2018,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2019,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
