Year,Series,Unit,Value
2007,Primary government expenditures as share of original approved budget,Percentage,120.0821
2008,Primary government expenditures as share of original approved budget,Percentage,107.8952
2009,Primary government expenditures as share of original approved budget,Percentage,100.1663
2010,Primary government expenditures as share of original approved budget,Percentage,108.0497
2011,Primary government expenditures as share of original approved budget,Percentage,100.6486
2012,Primary government expenditures as share of original approved budget,Percentage,95.1128
2013,Primary government expenditures as share of original approved budget,Percentage,95.9657
2014,Primary government expenditures as share of original approved budget,Percentage,96.3321
2015,Primary government expenditures as share of original approved budget,Percentage,83.3139
2016,Primary government expenditures as share of original approved budget,Percentage,91.9384
2017,Primary government expenditures as share of original approved budget,Percentage,99.7768
2018,Primary government expenditures as share of original approved budget,Percentage,109.623
2019,Primary government expenditures as share of original approved budget,Percentage,110.65485
2020,Primary government expenditures as share of original approved budget,Percentage,103.58476
