Year,Series,Unit,Value
2000,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03208
2001,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.02914
2002,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.02525
2003,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.02907
2004,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.02767
2005,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03117
2006,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03435
2007,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03339
2008,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03538
2009,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03499
2010,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03754
2011,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03768
2012,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.0342
2013,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.03142
2014,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.04629
2015,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.05106
2016,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.0511
2017,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.05609
2018,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.05383
2019,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.05756
2020,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.05142
2021,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.04862
2022,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.058708
2023,Developing countries’ and least developed countries’ share of global merchandise exports,% of world merchandise exports,0.053181
2000,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01594
2001,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.0187
2002,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01
2003,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01242
2004,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00917
2005,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01125
2006,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01038
2007,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00991
2008,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00889
2009,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00506
2010,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00776
2011,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00943
2012,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.01037
2013,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00853
2014,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00401
2015,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00289
2016,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.0024
2017,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.0053
2018,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00488
2019,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00461
2020,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00188
2021,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.00287
2022,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.003166
2023,Developing countries’ and least developed countries’ share of global services exports,% of world services exports,0.001859
