Year,Series,Unit,Value
2000,Children moderately or severely overweight,% of children under 5,4.5
2001,Children moderately or severely overweight,% of children under 5,4.8
2002,Children moderately or severely overweight,% of children under 5,5.1
2003,Children moderately or severely overweight,% of children under 5,5.5
2004,Children moderately or severely overweight,% of children under 5,5.9
2005,Children moderately or severely overweight,% of children under 5,6.4
2006,Children moderately or severely overweight,% of children under 5,6.9
2007,Children moderately or severely overweight,% of children under 5,7.4
2008,Children moderately or severely overweight,% of children under 5,8.0
2009,Children moderately or severely overweight,% of children under 5,8.6
2010,Children moderately or severely overweight,% of children under 5,9.2
2011,Children moderately or severely overweight,% of children under 5,9.8
2012,Children moderately or severely overweight,% of children under 5,10.5
2013,Children moderately or severely overweight,% of children under 5,11.3
2014,Children moderately or severely overweight,% of children under 5,12.0
2015,Children moderately or severely overweight,% of children under 5,14.4
2016,Children moderately or severely overweight,% of children under 5,15.3
2017,Children moderately or severely overweight,% of children under 5,16.0
2018,Children moderately or severely overweight,% of children under 5,16.8
2019,Children moderately or severely overweight,% of children under 5,17.4
2020,Children moderately or severely overweight,% of children under 5,17.9
2021,Children moderately or severely overweight,% of children under 5,18.3
2022,Children moderately or severely overweight,% of children under 5,18.5
2023,Children moderately or severely overweight,% of children under 5,18.6
2024,Children moderately or severely overweight,% of children under 5,18.5
