Year,Series,Unit,Value
2000,Debt service,"% of exports of goods, services and primary income",8.03668
2001,Debt service,"% of exports of goods, services and primary income",7.08632
2002,Debt service,"% of exports of goods, services and primary income",7.78231
2003,Debt service,"% of exports of goods, services and primary income",7.2953
2004,Debt service,"% of exports of goods, services and primary income",8.38931
2005,Debt service,"% of exports of goods, services and primary income",5.88045
2006,Debt service,"% of exports of goods, services and primary income",3.46083
2007,Debt service,"% of exports of goods, services and primary income",4.05114
2008,Debt service,"% of exports of goods, services and primary income",3.12153
2009,Debt service,"% of exports of goods, services and primary income",1.806
2010,Debt service,"% of exports of goods, services and primary income",1.38379
2011,Debt service,"% of exports of goods, services and primary income",1.33753
2012,Debt service,"% of exports of goods, services and primary income",1.4044
2013,Debt service,"% of exports of goods, services and primary income",1.45631
2014,Debt service,"% of exports of goods, services and primary income",1.03223
2015,Debt service,"% of exports of goods, services and primary income",1.01267981960599
2016,Debt service,"% of exports of goods, services and primary income",1.32881751169212
2017,Debt service,"% of exports of goods, services and primary income",1.3647139184736
2018,Debt service,"% of exports of goods, services and primary income",1.78109589543488
2019,Debt service,"% of exports of goods, services and primary income",3.80886066209437
2020,Debt service,"% of exports of goods, services and primary income",10.6745670810304
2021,Debt service,"% of exports of goods, services and primary income",5.8016155892469
2022,Debt service,"% of exports of goods, services and primary income",2.5181467165496
2023,Debt service,"% of exports of goods, services and primary income",3.80677879693053
