Year,Series,Unit,Value
2000,Red list index total,Index,0.90016
2001,Red list index total,Index,0.8966
2002,Red list index total,Index,0.89372
2003,Red list index total,Index,0.88984
2004,Red list index total,Index,0.88708
2005,Red list index total,Index,0.88343
2006,Red list index total,Index,0.88019
2007,Red list index total,Index,0.87698
2008,Red list index total,Index,0.87375
2009,Red list index total,Index,0.87106
2010,Red list index total,Index,0.86816
2011,Red list index total,Index,0.86459
2012,Red list index total,Index,0.86077
2013,Red list index total,Index,0.85775
2014,Red list index total,Index,0.85381
2015,Red list index total,Index,0.85067
2016,Red list index total,Index,0.84683
2017,Red list index total,Index,0.84282
2018,Red list index total,Index,0.83944
2019,Red list index total,Index,0.83637
2020,Red list index total,Index,0.83291
2021,Red list index total,Index,0.8286
2022,Red list index total,Index,0.82591
2023,Red list index total,Index,0.82248
2024,Red list index total,Index,0.81862
