Year,Series,Unit,Value
2000,Plant genetic resources accessions stored ex situ,Number,1200
2005,Plant genetic resources accessions stored ex situ,Number,1337
2010,Plant genetic resources accessions stored ex situ,Number,1387
2012,Plant genetic resources accessions stored ex situ,Number,1443
2014,Plant genetic resources accessions stored ex situ,Number,1470
2016,Plant genetic resources accessions stored ex situ,Number,1569
2017,Plant genetic resources accessions stored ex situ,Number,1627
2018,Plant genetic resources accessions stored ex situ,Number,1628
2019,Plant genetic resources accessions stored ex situ,Number,1630
2020,Plant genetic resources accessions stored ex situ,Number,1975
2021,Plant genetic resources accessions stored ex situ,Number,2569
2022,Plant genetic resources accessions stored ex situ,Number,2940
