Year,Series,Unit,Value
2004,Labour income share of GDP,% of GDP,39.9
2005,Labour income share of GDP,% of GDP,36.3
2006,Labour income share of GDP,% of GDP,33.3
2007,Labour income share of GDP,% of GDP,32.8
2008,Labour income share of GDP,% of GDP,34.4
2009,Labour income share of GDP,% of GDP,32.9
2010,Labour income share of GDP,% of GDP,32.2
2011,Labour income share of GDP,% of GDP,33.9
2012,Labour income share of GDP,% of GDP,33.1
2013,Labour income share of GDP,% of GDP,33.2
2014,Labour income share of GDP,% of GDP,31.3
2015,Labour income share of GDP,% of GDP,32.5
2016,Labour income share of GDP,% of GDP,32.7
2017,Labour income share of GDP,% of GDP,33.0
2018,Labour income share of GDP,% of GDP,33.6
2019,Labour income share of GDP,% of GDP,32.6
2020,Labour income share of GDP,% of GDP,34.1
