Year,Series,Unit,Value
2005,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.03
2006,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.51
2007,Deaths and missing persons attributed to disasters,"Per 100,000 population",4.93
2008,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.18
2009,Deaths and missing persons attributed to disasters,"Per 100,000 population",2.87
2010,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.21
2011,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.01
2012,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.86
2013,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.12
2014,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.35
2015,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.35
2019,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.02
2020,Deaths and missing persons attributed to disasters,"Per 100,000 population",0.41
2021,Deaths and missing persons attributed to disasters,"Per 100,000 population",6.55
2005,Directly affected persons attributed to disasters,"Per 100,000 population",0.03
2006,Directly affected persons attributed to disasters,"Per 100,000 population",3.22
2007,Directly affected persons attributed to disasters,"Per 100,000 population",813.23
2008,Directly affected persons attributed to disasters,"Per 100,000 population",509.85
2009,Directly affected persons attributed to disasters,"Per 100,000 population",7.88
2012,Directly affected persons attributed to disasters,"Per 100,000 population",2.14
2013,Directly affected persons attributed to disasters,"Per 100,000 population",3.2
2019,Directly affected persons attributed to disasters,"Per 100,000 population",22.01
2020,Directly affected persons attributed to disasters,"Per 100,000 population",33.82
