Year,Series,Unit,Value
2016,"Adjusted net enrolment rate (one year before the official primary entry age), female",Percentage,67.7706
2018,"Adjusted net enrolment rate (one year before the official primary entry age), female",Percentage,66.47065
2016,"Adjusted net enrolment rate (one year before the official primary entry age), male",Percentage,67.53302
2018,"Adjusted net enrolment rate (one year before the official primary entry age), male",Percentage,66.06637
2016,"Adjusted net enrolment rate (one year before the official primary entry age), total",Percentage,67.64706
2018,"Adjusted net enrolment rate (one year before the official primary entry age), total",Percentage,66.26065
